Year	EW(m)	NS(m)	UD(m)
2011.77671	-0.01455	0.0442396	-0.03481
2011.77945	-0.01452	0.0451696	-0.0364
2011.78219	-0.01325	0.0455996	-0.02905
2011.78493	-0.01407	0.0459196	-0.03139
2011.78767	-0.01475	0.0462896	-0.03537
2011.79041	-0.0144	0.0441196	-0.02945
2011.79315	-0.01381	0.0450996	-0.03791
2011.79589	-0.01428	0.0473096	-0.03799
2011.79863	-0.01441	0.0447096	-0.0361
2011.80137	-0.01504	0.0455596	-0.03841
2011.80411	-0.01455	0.0454296	-0.03564
2011.80685	-0.01433	0.0459696	-0.03734
2011.80959	-0.01359	0.0459496	-0.04313
2011.81233	-0.01458	0.0451396	-0.03559
2011.81507	-0.01457	0.0449396	-0.03105
2011.81781	-0.01302	0.0449396	-0.03833
2011.82055	-0.01535	0.0450496	-0.03607
2011.82329	-0.01517	0.0471096	-0.03734
2011.82603	-0.01528	0.0464696	-0.03533
2011.82877	-0.01444	0.0463996	-0.03352
2011.83151	-0.01555	0.0467296	-0.03749
2011.83425	-0.0151	0.0468096	-0.04106
2011.83699	-0.01511	0.0456596	-0.04098
2011.83973	-0.01531	0.0466196	-0.04641
2011.84247	-0.01457	0.0470196	-0.04095
2011.84521	-0.01307	0.0462596	-0.04125
2011.84795	-0.01419	0.0484396	-0.03975
2011.85068	-0.01497	0.0470796	-0.04148
2011.85342	-0.01473	0.0480196	-0.04068
2011.85616	-0.01593	0.0466796	-0.03314
2011.8589	-0.01568	0.0469296	-0.03273
2011.86164	-0.01474	0.0461096	-0.03205
2011.86438	-0.01516	0.0464996	-0.03628
2011.86712	-0.01532	0.0477396	-0.03439
2011.86986	-0.0148	0.0489196	-0.04123
2011.8726	-0.01518	0.0489296	-0.04384
2011.87534	-0.0149	0.0501896	-0.03742
2011.87808	-0.01337	0.0493996	-0.03986
2011.88082	-0.01441	0.0481496	-0.03778
2011.88356	-0.01572	0.0501496	-0.035
2011.8863	-0.01569	0.0492196	-0.03916
2011.88904	-0.01554	0.0486896	-0.04495
2011.89178	-0.01556	0.0489396	-0.03751
2011.89452	-0.01663	0.0490096	-0.03587
2011.89726	-0.01578	0.0481996	-0.03751
2011.9	-0.0168	0.0491796	-0.03787
2011.90274	-0.01684	0.0494796	-0.03739
2011.90548	-0.01706	0.0491696	-0.03734
2011.90822	-0.01522	0.0495196	-0.03921
2011.91096	-0.0156	0.0468496	-0.04075
2011.9137	-0.01757	0.0489596	-0.04007
2011.91644	-0.01682	0.0492596	-0.03717
