YYYY	EW(m)	NS(m)	UD(m)
2012.61885	-0.01975	0.0526044	-0.00284
2012.62158	-0.02212	0.0551244	0.00278
2012.62432	-0.02202	0.0550744	0.00221
2012.62705	-0.01886	0.0548544	-0.00819
2012.62978	-0.01551	0.0498644	-0.01134
2012.63251	-0.02219	0.0548744	0.00706
2012.63525	-0.01715	0.0517444	-0.00117
2012.63798	-0.0196	0.0549944	-0.00249
2012.64071	-0.02165	0.0564344	0.00109
2012.64344	-0.02073	0.0555844	0.00237
2012.64617	-0.02137	0.0564044	-0.00478
2012.64891	-0.01776	0.0515144	-0.01002
2012.65164	-0.01852	0.0521944	-0.00516
2012.65437	-0.01925	0.0550244	-0.01208
2012.6571	-0.02028	0.0573444	-0.00421
2012.65984	-0.0223	0.0569144	0.00811
2012.66257	-0.02117	0.0569844	0.00343
2012.6653	-0.01926	0.0566644	-0.00547
2012.67077	-0.01883	0.0499144	-0.00595
2012.6735	-0.01982	0.0566844	-0.008
2012.67623	-0.02032	0.0575544	-0.00429
2012.67896	-0.02059	0.0581944	-0.00419
2012.68169	-0.01801	0.0564744	-0.00422
2012.68443	-0.02104	0.0560444	-0.00011
2012.68716	-0.02228	0.0576644	0.0019
2012.68989	-0.02145	0.0580044	-0.00464
2012.69262	-0.01923	0.0573744	-0.00502
2012.69536	-0.01951	0.0543444	-0.00892
2012.69809	-0.02065	0.0573144	-0.00191
2012.70082	-0.02055	0.0584044	-0.00279
2012.70355	-0.0218	0.0575844	-0.00507
2012.70628	-0.02156	0.0578444	-0.00743
2012.70902	-0.02142	0.0573244	-0.00719
2012.71175	-0.01966	0.0577944	-0.0041
2012.71448	-0.02074	0.0588644	-0.00259
2012.71721	-0.02186	0.0582344	-0.00814
2012.71995	-0.02192	0.0591344	-0.00353
2012.72268	-0.0201	0.0563844	-0.00041
2012.72541	-0.02127	0.0576144	-0.00259
2012.72814	-0.02105	0.0577144	-0.00466
2012.73087	-0.02271	0.0593944	-0.00791
2012.73361	-0.0195	0.0547844	-0.01056
2012.73634	-0.02082	0.0581144	-0.00824
2012.73907	-0.02131	0.0587544	-0.00792
2012.7418	-0.02149	0.0567544	-0.00717
2012.74454	-0.02152	0.0567044	-0.00847
2012.74727	-0.02153	0.0593944	-0.00642
2012.75	-0.02169	0.0585644	-0.00625
2012.75273	-0.02077	0.0584144	-0.00948
2012.75546	-0.01857	0.0580444	-0.0049
2012.7582	-0.01813	0.0572244	-0.00557
2012.76093	-0.02004	0.0573044	-0.00807
2012.76366	-0.02029	0.0572844	-0.00806
2012.76639	-0.02008	0.0568944	-0.00999
2012.76913	-0.01942	0.0569544	-0.01322
2012.77186	-0.01964	0.0570044	-0.00782
2012.77459	-0.01993	0.0567744	-0.00632
2012.77732	-0.01987	0.0572344	-0.00491
2012.78005	-0.01932	0.0566944	-0.00822
2012.78279	-0.01957	0.0584644	-0.01119
2012.78552	-0.02135	0.0575044	-0.00743
2012.78825	-0.02029	0.0578144	-0.00839
2012.79098	-0.01877	0.0581944	-0.01152
2012.79372	-0.02041	0.0571044	-0.00212
2012.79645	-0.02033	0.0579844	-0.00889
2012.79918	-0.01992	0.0579844	-0.01241
2012.80191	-0.02036	0.0588144	-0.00811
2012.80464	-0.0201	0.0579944	-0.00677
2012.80738	-0.02033	0.0582144	-0.00369
2012.81011	-0.02004	0.0581644	-0.00456
2012.81284	-0.0217	0.0593544	-0.00596
2012.81557	-0.02121	0.0597944	-0.00963
2012.81831	-0.02091	0.0598644	-0.00482
2012.82104	-0.02043	0.0589844	-0.00862
2012.82377	-0.01985	0.0580544	-0.00508
2012.8265	-0.02001	0.0584944	-0.01427
2012.82923	-0.02115	0.0605144	-0.00683
2012.83197	-0.02137	0.0596844	-0.00325
2012.8347	-0.02162	0.0604744	-0.01135
2012.83743	-0.0224	0.0613344	-0.00879
2012.84016	-0.0235	0.0592244	-0.00611
2012.8429	-0.02504	0.0626844	-0.01703
2012.84563	-0.02261	0.0607144	-0.00445
2012.84836	-0.02215	0.0595544	-0.0079
2012.85109	-0.02124	0.0613144	-0.00392
2012.85383	-0.02312	0.0617644	-0.00962
2012.85656	-0.02271	0.0610444	-0.00901
2012.85929	-0.02332	0.0603544	-0.01178
2012.86202	-0.02219	0.0587344	-0.00415
2012.86475	-0.02269	0.0601344	-0.00069
2012.86749	-0.0227	0.0604844	-0.00285
2012.87022	-0.02345	0.0601844	-0.00668
2012.87295	-0.02423	0.0593244	-0.01273
2012.87568	-0.02394	0.0613744	-0.00792
2012.87842	-0.02437	0.0604444	-0.00048
2012.88115	-0.02366	0.0616944	-0.00582
2012.88388	-0.02417	0.0604744	-0.00387
2012.88661	-0.02244	0.0618944	-0.00511
2012.88934	-0.02291	0.0612544	-0.00466
2012.89208	-0.02355	0.0612144	-0.00559
2012.89481	-0.02345	0.0611444	-0.00351
2012.89754	-0.02339	0.0613544	-0.0056
2012.90027	-0.02427	0.0610244	-0.00264
2012.90301	-0.02464	0.0612544	0.00058
2012.90574	-0.02354	0.0609544	-0.00096
2012.90847	-0.02383	0.0605444	-0.00343
2012.9112	-0.02431	0.0613844	-0.00444
2012.91393	-0.02411	0.0626744	-0.00922
2012.91667	-0.02346	0.0616944	-0.0056
